,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,Price_bucket
61995,498570,M,Manual,2,2010-02-21 12:52:00,0.4,15059.0,United Kingdom,0.8,"(0.378, 0.454]"
62026,498571,M,Manual,1,2010-02-21 12:57:00,1.25,15774.0,United Kingdom,1.25,"(1.209, 1.284]"
63760,498797,M,Manual,1,2010-02-23 11:14:00,8.49,15493.0,United Kingdom,8.49,"(8.456, 8.532]"
64421,498911,M,Manual,2,2010-02-23 15:27:00,0.65,16702.0,United Kingdom,1.3,"(0.605, 0.68]"
64792,499020,M,Manual,4,2010-02-24 12:19:00,2.95,14527.0,United Kingdom,11.8,"(2.945, 3.021]"
65000,499057,M,Manual,3,2010-02-24 13:48:00,1.25,15898.0,United Kingdom,3.75,"(1.209, 1.284]"
66537,499285,M,Manual,1,2010-02-25 19:08:00,0.85,17207.0,United Kingdom,0.85,"(0.831, 0.907]"
67634,499478,M,Manual,6,2010-02-28 12:50:00,3.75,15664.0,United Kingdom,22.5,"(3.7, 3.776]"
68939,499628,M,Manual,1,2010-03-01 13:22:00,3.75,16521.0,United Kingdom,3.75,"(3.7, 3.776]"
70533,499895,M,Manual,2,2010-03-03 11:51:00,3.75,14593.0,United Kingdom,7.5,"(3.7, 3.776]"
70956,499965,M,Manual,6,2010-03-03 13:57:00,1.0,16461.0,United Kingdom,6.0,"(0.982, 1.058]"
72140,500094,M,Manual,3,2010-03-04 12:24:00,0.1,15005.0,United Kingdom,0.30000000000000004,"(0.0765, 0.152]"
72228,500098,M,Manual,3,2010-03-04 12:32:00,1.25,16771.0,United Kingdom,3.75,"(1.209, 1.284]"
72249,500098,M,Manual,3,2010-03-04 12:32:00,4.25,16771.0,United Kingdom,12.75,"(4.229, 4.304]"
72398,500113,M,Manual,1,2010-03-04 12:50:00,308.74,13097.0,United Kingdom,308.74,"(308.702, 308.778]"
72429,500115,M,Manual,1,2010-03-04 12:57:00,3.95,17847.0,United Kingdom,3.95,"(3.927, 4.002]"
72638,500128,M,Manual,1,2010-03-04 14:45:00,1.25,13610.0,United Kingdom,1.25,"(1.209, 1.284]"
74454,500329,M,Manual,1,2010-03-07 12:56:00,7.95,13764.0,United Kingdom,7.95,"(7.928, 8.004]"
75949,500495,M,Manual,1,2010-03-08 13:04:00,10.0,15078.0,United Kingdom,10.0,"(9.966, 10.042]"
76077,500504,M,Manual,16,2010-03-08 13:41:00,0.5,16537.0,United Kingdom,8.0,"(0.454, 0.529]"
76078,500504,M,Manual,24,2010-03-08 13:41:00,0.2,16537.0,United Kingdom,4.800000000000001,"(0.152, 0.227]"
77669,500843,M,Manual,25,2010-03-10 12:13:00,0.42,17348.0,United Kingdom,10.5,"(0.378, 0.454]"
77776,500853,M,Manual,7,2010-03-10 12:22:00,0.55,13566.0,United Kingdom,3.8500000000000005,"(0.529, 0.605]"
77927,500869,M,Manual,2,2010-03-10 13:21:00,2.95,17220.0,United Kingdom,5.9,"(2.945, 3.021]"
78025,500874,M,Manual,50,2010-03-10 13:43:00,0.1,16719.0,United Kingdom,5.0,"(0.0765, 0.152]"
79687,501128,M,Manual,1,2010-03-12 16:06:00,1.45,13573.0,United Kingdom,1.45,"(1.435, 1.511]"
80117,501146,M,Manual,2,2010-03-14 13:08:00,3.75,13634.0,United Kingdom,7.5,"(3.7, 3.776]"
80118,501146,M,Manual,2,2010-03-14 13:08:00,2.95,13634.0,United Kingdom,5.9,"(2.945, 3.021]"
80141,501147,M,Manual,25,2010-03-14 13:28:00,0.42,17905.0,United Kingdom,10.5,"(0.378, 0.454]"
80749,501275,M,Manual,50,2010-03-15 13:45:00,0.42,14667.0,United Kingdom,21.0,"(0.378, 0.454]"
80750,501275,M,Manual,25,2010-03-15 13:45:00,0.42,14667.0,United Kingdom,10.5,"(0.378, 0.454]"
81185,501302,M,Manual,25,2010-03-15 17:01:00,0.42,17848.0,United Kingdom,10.5,"(0.378, 0.454]"
81660,501431,M,Manual,2,2010-03-16 13:00:00,3.75,14604.0,United Kingdom,7.5,"(3.7, 3.776]"
82439,501515,M,Manual,50,2010-03-17 11:53:00,0.42,15867.0,United Kingdom,21.0,"(0.378, 0.454]"
82763,501540,M,Manual,1,2010-03-17 14:12:00,0.42,16085.0,United Kingdom,0.42,"(0.378, 0.454]"
82909,501544,M,Manual,5,2010-03-17 14:55:00,0.3,18196.0,United Kingdom,1.5,"(0.227, 0.303]"
82945,501546,M,Manual,6,2010-03-17 15:11:00,1.45,17933.0,United Kingdom,8.7,"(1.435, 1.511]"
84341,501699,M,Manual,4,2010-03-18 19:29:00,2.95,14702.0,United Kingdom,11.8,"(2.945, 3.021]"
84360,501700,M,Manual,25,2010-03-18 20:02:00,0.42,13230.0,United Kingdom,10.5,"(0.378, 0.454]"
84717,501730,M,Manual,3,2010-03-19 11:05:00,2.95,14159.0,United Kingdom,8.850000000000001,"(2.945, 3.021]"
85324,501819,M,Manual,1,2010-03-19 15:14:00,322.69,14832.0,United Kingdom,322.69,"(322.669, 322.744]"
85365,501828,M,Manual,12,2010-03-19 15:45:00,1.25,15218.0,United Kingdom,15.0,"(1.209, 1.284]"
85647,501854,M,Manual,3,2010-03-21 11:15:00,1.0,15446.0,United Kingdom,3.0,"(0.982, 1.058]"
85958,501877,M,Manual,50,2010-03-21 13:14:00,1.0,17611.0,United Kingdom,50.0,"(0.982, 1.058]"
86071,501880,M,Manual,2,2010-03-21 13:38:00,3.75,17285.0,United Kingdom,7.5,"(3.7, 3.776]"
86150,501887,M,Manual,1,2010-03-21 14:16:00,2.95,17587.0,United Kingdom,2.95,"(2.945, 3.021]"
86949,501922,M,Manual,25,2010-03-22 10:26:00,0.42,13151.0,United Kingdom,10.5,"(0.378, 0.454]"
87271,502055,M,Manual,25,2010-03-22 14:30:00,0.42,13357.0,United Kingdom,10.5,"(0.378, 0.454]"
88094,502228,M,Manual,6,2010-03-23 12:11:00,0.42,15716.0,United Kingdom,2.52,"(0.378, 0.454]"
88649,502263,M,Manual,1,2010-03-23 15:22:00,10953.5,12918.0,United Kingdom,10953.5,"(10953.493, 10953.569]"
89090,502363,M,Manual,2,2010-03-24 11:19:00,2.95,14606.0,United Kingdom,5.9,"(2.945, 3.021]"
89394,502424,M,Manual,10,2010-03-24 12:30:00,2.9,14527.0,United Kingdom,29.0,"(2.87, 2.945]"
90090,502534,M,Manual,25,2010-03-25 11:32:00,0.42,15547.0,United Kingdom,10.5,"(0.378, 0.454]"
90282,502588,M,Manual,2,2010-03-25 12:43:00,2.95,16550.0,United Kingdom,5.9,"(2.945, 3.021]"
90469,502602,M,Manual,1,2010-03-25 13:34:00,241.38,16943.0,United Kingdom,241.38,"(241.36, 241.436]"
90650,502613,M,Manual,2,2010-03-25 14:22:00,0.42,14535.0,United Kingdom,0.84,"(0.378, 0.454]"
90695,502613,M,Manual,25,2010-03-25 14:22:00,0.42,14535.0,United Kingdom,10.5,"(0.378, 0.454]"
91103,502660,M,Manual,6,2010-03-25 17:18:00,1.0,13187.0,United Kingdom,6.0,"(0.982, 1.058]"
91105,502660,M,Manual,7,2010-03-25 17:18:00,1.0,13187.0,United Kingdom,7.0,"(0.982, 1.058]"
91397,502733,M,Manual,1,2010-03-26 11:56:00,5.95,15911.0,United Kingdom,5.95,"(5.89, 5.965]"
91402,502733,M,Manual,25,2010-03-26 11:56:00,0.42,15911.0,United Kingdom,10.5,"(0.378, 0.454]"
91673,502765,M,Manual,2,2010-03-26 14:01:00,2.0,17371.0,United Kingdom,4.0,"(1.964, 2.039]"
91959,502799,M,Manual,1,2010-03-26 16:17:00,2.95,15867.0,United Kingdom,2.95,"(2.945, 3.021]"
92028,502811,M,Manual,25,2010-03-28 10:13:00,0.42,17243.0,United Kingdom,10.5,"(0.378, 0.454]"
92527,502831,M,Manual,3,2010-03-28 12:26:00,10.0,17372.0,United Kingdom,30.0,"(9.966, 10.042]"
93020,502847,M,Manual,2,2010-03-28 13:47:00,2.95,14572.0,United Kingdom,5.9,"(2.945, 3.021]"
93156,502852,M,Manual,2,2010-03-28 14:32:00,2.95,18231.0,United Kingdom,5.9,"(2.945, 3.021]"
93388,502856,M,Manual,1,2010-03-28 15:05:00,1.65,14078.0,United Kingdom,1.65,"(1.586, 1.662]"
95636,503156,M,Manual,1,2010-03-30 12:36:00,3.75,15862.0,United Kingdom,3.75,"(3.7, 3.776]"
96175,503220,M,Manual,7,2010-03-30 16:24:00,0.29,16658.0,United Kingdom,2.03,"(0.227, 0.303]"
97082,503344,M,Manual,5,2010-03-31 13:15:00,0.42,15454.0,United Kingdom,2.1,"(0.378, 0.454]"
97945,503469,M,Manual,85,2010-04-01 11:55:00,0.4,15311.0,United Kingdom,34.0,"(0.378, 0.454]"
99645,503714,M,Manual,3,2010-04-06 14:42:00,0.85,13432.0,United Kingdom,2.55,"(0.831, 0.907]"
100311,503790,M,Manual,2,2010-04-07 12:45:00,1.95,13174.0,United Kingdom,3.9,"(1.888, 1.964]"
100429,503801,M,Manual,1,2010-04-07 13:48:00,10.0,15521.0,United Kingdom,10.0,"(9.966, 10.042]"
100431,503801,M,Manual,2,2010-04-07 13:48:00,0.3,15521.0,United Kingdom,0.6,"(0.227, 0.303]"
101215,503895,M,Manual,25,2010-04-08 11:59:00,0.42,13278.0,United Kingdom,10.5,"(0.378, 0.454]"
101815,503956,M,Manual,2,2010-04-08 16:45:00,0.42,13443.0,United Kingdom,0.84,"(0.378, 0.454]"
102675,504119,M,Manual,12,2010-04-09 16:54:00,0.42,17609.0,United Kingdom,5.04,"(0.378, 0.454]"
102730,504120,M,Manual,1,2010-04-09 17:13:00,1.25,15889.0,United Kingdom,1.25,"(1.209, 1.284]"
103132,504142,M,Manual,1,2010-04-11 13:01:00,3.75,13259.0,United Kingdom,3.75,"(3.7, 3.776]"
103395,504153,M,Manual,1,2010-04-11 14:11:00,1.25,17068.0,United Kingdom,1.25,"(1.209, 1.284]"
103948,504216,M,Manual,3,2010-04-12 12:48:00,3.75,15504.0,United Kingdom,11.25,"(3.7, 3.776]"
104053,504232,M,Manual,1,2010-04-12 13:01:00,0.5,15044.0,United Kingdom,0.5,"(0.454, 0.529]"
104387,504328,M,Manual,1,2010-04-12 15:59:00,21.95,16987.0,United Kingdom,21.95,"(21.895, 21.97]"
104459,504340,M,Manual,25,2010-04-12 16:50:00,0.42,13564.0,United Kingdom,10.5,"(0.378, 0.454]"
105304,504440,M,Manual,1,2010-04-13 14:02:00,0.85,13052.0,United Kingdom,0.85,"(0.831, 0.907]"
106410,504572,M,Manual,1,2010-04-14 14:49:00,0.85,18057.0,United Kingdom,0.85,"(0.831, 0.907]"
106412,504572,M,Manual,36,2010-04-14 14:49:00,0.42,18057.0,United Kingdom,15.12,"(0.378, 0.454]"
106437,504572,M,Manual,3,2010-04-14 14:49:00,1.45,18057.0,United Kingdom,4.35,"(1.435, 1.511]"
107361,504686,M,Manual,1,2010-04-15 16:17:00,94.8,15354.0,United Kingdom,94.8,"(94.748, 94.823]"
107362,504687,M,Manual,1,2010-04-15 16:21:00,94.8,15354.0,United Kingdom,94.8,"(94.748, 94.823]"
107363,504688,M,Manual,1,2010-04-15 16:24:00,94.8,15354.0,United Kingdom,94.8,"(94.748, 94.823]"
108023,504831,M,Manual,10,2010-04-16 13:35:00,0.42,17913.0,United Kingdom,4.2,"(0.378, 0.454]"
109989,505002,M,Manual,2,2010-04-19 12:39:00,1.25,16905.0,United Kingdom,2.5,"(1.209, 1.284]"
110581,505067,M,Manual,3,2010-04-19 16:48:00,0.42,14606.0,United Kingdom,1.26,"(0.378, 0.454]"
111059,505167,M,Manual,1,2010-04-20 12:46:00,1.45,17841.0,United Kingdom,1.45,"(1.435, 1.511]"
113690,505549,M,Manual,7,2010-04-22 19:21:00,0.85,17057.0,United Kingdom,5.95,"(0.831, 0.907]"
114301,505615,M,Manual,3,2010-04-23 12:49:00,2.95,15288.0,United Kingdom,8.850000000000001,"(2.945, 3.021]"
115003,505709,M,Manual,1,2010-04-25 12:34:00,2.95,13050.0,United Kingdom,2.95,"(2.945, 3.021]"
115042,505709,M,Manual,25,2010-04-25 12:34:00,0.42,13050.0,United Kingdom,10.5,"(0.378, 0.454]"
116432,505854,M,Manual,36,2010-04-26 12:51:00,0.42,14563.0,United Kingdom,15.12,"(0.378, 0.454]"
117800,506080,M,Manual,25,2010-04-27 11:58:00,0.42,17332.0,United Kingdom,10.5,"(0.378, 0.454]"
117896,506099,M,Manual,1,2010-04-27 12:46:00,1.65,17991.0,United Kingdom,1.65,"(1.586, 1.662]"
118028,506111,M,Manual,2,2010-04-27 13:44:00,2.95,12849.0,United Kingdom,5.9,"(2.945, 3.021]"
118029,506111,M,Manual,1,2010-04-27 13:44:00,2.95,12849.0,United Kingdom,2.95,"(2.945, 3.021]"
119194,506247,M,Manual,2,2010-04-28 13:24:00,0.21,18049.0,United Kingdom,0.42,"(0.152, 0.227]"
119402,506253,M,Manual,1,2010-04-28 13:53:00,2.95,17346.0,United Kingdom,2.95,"(2.945, 3.021]"
119800,506285,M,Manual,3,2010-04-28 16:49:00,1.45,16767.0,United Kingdom,4.35,"(1.435, 1.511]"
120509,506400,M,Manual,1,2010-04-29 13:35:00,2.95,15954.0,United Kingdom,2.95,"(2.945, 3.021]"
120766,506434,M,Manual,2,2010-04-29 15:34:00,5.0,13173.0,United Kingdom,10.0,"(4.984, 5.059]"
121187,506456,M,Manual,25,2010-04-29 19:08:00,0.42,15015.0,United Kingdom,10.5,"(0.378, 0.454]"
121250,506460,M,Manual,3,2010-04-29 20:04:00,1.45,15861.0,United Kingdom,4.35,"(1.435, 1.511]"
121686,506566,M,Manual,3,2010-04-30 12:46:00,0.42,14648.0,United Kingdom,1.26,"(0.378, 0.454]"
121752,506572,M,Manual,2,2010-04-30 13:10:00,2.95,16374.0,United Kingdom,5.9,"(2.945, 3.021]"
123893,506947,M,Manual,12,2010-05-05 11:16:00,0.42,17377.0,United Kingdom,5.04,"(0.378, 0.454]"
125499,507199,M,Manual,2,2010-05-06 16:27:00,3.75,16890.0,United Kingdom,7.5,"(3.7, 3.776]"
125637,507218,M,Manual,2,2010-05-06 19:08:00,0.2,14713.0,United Kingdom,0.4,"(0.152, 0.227]"
126247,507256,M,Manual,2,2010-05-07 11:42:00,2.95,17798.0,United Kingdom,5.9,"(2.945, 3.021]"
126619,507290,M,Manual,1,2010-05-07 14:10:00,1.25,14814.0,United Kingdom,1.25,"(1.209, 1.284]"
127100,507376,M,Manual,28,2010-05-09 11:29:00,0.21,13979.0,United Kingdom,5.88,"(0.152, 0.227]"
127160,507376,M,Manual,1,2010-05-09 11:29:00,0.42,13979.0,United Kingdom,0.42,"(0.378, 0.454]"
127789,507401,M,Manual,7,2010-05-09 13:38:00,0.42,15555.0,United Kingdom,2.94,"(0.378, 0.454]"
127814,507401,M,Manual,20,2010-05-09 13:38:00,0.21,15555.0,United Kingdom,4.2,"(0.152, 0.227]"
128328,507430,M,Manual,4,2010-05-09 16:03:00,1.45,17135.0,United Kingdom,5.8,"(1.435, 1.511]"
128519,507438,M,Manual,1,2010-05-10 09:16:00,4.0,17994.0,United Kingdom,4.0,"(3.927, 4.002]"
131525,508074,M,Manual,4,2010-05-12 16:03:00,10.0,17897.0,United Kingdom,40.0,"(9.966, 10.042]"
131529,508074,M,Manual,3,2010-05-12 16:03:00,2.0,17897.0,United Kingdom,6.0,"(1.964, 2.039]"
131536,508074,M,Manual,1,2010-05-12 16:03:00,0.85,17897.0,United Kingdom,0.85,"(0.831, 0.907]"
131556,508075,M,Manual,1,2010-05-12 16:04:00,30.0,15149.0,United Kingdom,30.0,"(29.973, 30.048]"
132235,508197,M,Manual,1,2010-05-13 13:31:00,0.85,16906.0,United Kingdom,0.85,"(0.831, 0.907]"
132618,508235,M,Manual,42,2010-05-13 18:49:00,0.85,15478.0,United Kingdom,35.699999999999996,"(0.831, 0.907]"
132619,508235,M,Manual,8,2010-05-13 18:49:00,0.85,15478.0,United Kingdom,6.8,"(0.831, 0.907]"
133550,508474,M,Manual,25,2010-05-16 11:52:00,0.42,17123.0,United Kingdom,10.5,"(0.378, 0.454]"
134409,508503,M,Manual,2,2010-05-16 15:52:00,1.45,14982.0,United Kingdom,2.9,"(1.435, 1.511]"
135295,508629,M,Manual,1,2010-05-17 14:21:00,0.1,13857.0,United Kingdom,0.1,"(0.0765, 0.152]"
136712,508864,M,Manual,36,2010-05-18 16:09:00,0.42,17589.0,United Kingdom,15.12,"(0.378, 0.454]"
138767,509156,M,Manual,1,2010-05-20 13:28:00,7.95,15025.0,United Kingdom,7.95,"(7.928, 8.004]"
140494,509416,M,Manual,1,2010-05-23 12:50:00,5.0,14505.0,United Kingdom,5.0,"(4.984, 5.059]"
140584,509416,M,Manual,1,2010-05-23 12:50:00,1.0,14505.0,United Kingdom,1.0,"(0.982, 1.058]"
143137,509779,M,Manual,1,2010-05-25 16:54:00,7.97,16658.0,United Kingdom,7.97,"(7.928, 8.004]"
143740,509956,M,Manual,2,2010-05-26 12:49:00,7.95,14715.0,United Kingdom,15.9,"(7.928, 8.004]"
144918,510153,M,Manual,1,2010-05-27 13:25:00,8.5,16947.0,United Kingdom,8.5,"(8.456, 8.532]"
149821,510792,M,Manual,1,2010-06-03 16:33:00,1.45,15867.0,United Kingdom,1.45,"(1.435, 1.511]"
150315,510987,M,Manual,1,2010-06-04 12:50:00,2.95,13443.0,United Kingdom,2.95,"(2.945, 3.021]"
151785,511063,M,Manual,2,2010-06-06 12:45:00,1.25,15988.0,United Kingdom,2.5,"(1.209, 1.284]"
153305,511236,M,Manual,2,2010-06-07 12:29:00,5.0,18203.0,United Kingdom,10.0,"(4.984, 5.059]"
155038,511434,M,Manual,25,2010-06-08 11:50:00,0.42,17201.0,United Kingdom,10.5,"(0.378, 0.454]"
155815,511501,M,Manual,6,2010-06-08 14:52:00,1.25,15532.0,United Kingdom,7.5,"(1.209, 1.284]"
155953,511517,M,Manual,1,2010-06-08 16:24:00,1.05,17962.0,United Kingdom,1.05,"(0.982, 1.058]"
155966,511520,M,Manual,1,2010-06-08 16:39:00,849.45,14308.0,United Kingdom,849.45,"(849.401, 849.476]"
156207,511523,M,Manual,1,2010-06-08 16:48:00,297.57,14308.0,United Kingdom,297.57,"(297.529, 297.604]"
156688,511616,M,Manual,1,2010-06-09 12:11:00,0.85,15527.0,United Kingdom,0.85,"(0.831, 0.907]"
157066,511655,M,Manual,1,2010-06-09 14:09:00,3.0,14104.0,United Kingdom,3.0,"(2.945, 3.021]"
157502,511771,M,Manual,1,2010-06-10 12:12:00,15.0,17032.0,United Kingdom,15.0,"(14.949, 15.025]"
159018,511960,M,Manual,6,2010-06-11 13:23:00,0.45,14727.0,United Kingdom,2.7,"(0.378, 0.454]"
159127,511967,M,Manual,1,2010-06-11 13:43:00,5.0,17867.0,United Kingdom,5.0,"(4.984, 5.059]"
159358,512002,M,Manual,1,2010-06-11 15:54:00,1000.63,14255.0,United Kingdom,1000.63,"(1000.618, 1000.694]"
161726,512295,M,Manual,144,2010-06-14 15:11:00,1.25,15311.0,United Kingdom,180.0,"(1.209, 1.284]"
164090,512570,M,Manual,1,2010-06-16 14:47:00,10.0,14075.0,United Kingdom,10.0,"(9.966, 10.042]"
164573,512659,M,Manual,1,2010-06-17 11:26:00,5.0,17884.0,United Kingdom,5.0,"(4.984, 5.059]"
165309,512751,M,Manual,25,2010-06-17 15:08:00,0.42,17953.0,United Kingdom,10.5,"(0.378, 0.454]"
165814,512804,M,Manual,1,2010-06-18 11:16:00,241.38,16943.0,United Kingdom,241.38,"(241.36, 241.436]"
165815,512806,M,Manual,34,2010-06-18 11:21:00,0.21,15483.0,United Kingdom,7.14,"(0.152, 0.227]"
167474,513048,M,Manual,1,2010-06-21 13:04:00,0.85,16391.0,United Kingdom,0.85,"(0.831, 0.907]"
168974,513263,M,Manual,28,2010-06-23 11:34:00,0.21,14725.0,United Kingdom,5.88,"(0.152, 0.227]"
170078,513461,M,Manual,12,2010-06-24 15:50:00,1.25,15043.0,United Kingdom,15.0,"(1.209, 1.284]"
172541,513750,M,Manual,4,2010-06-28 12:38:00,2.55,17019.0,United Kingdom,10.2,"(2.492, 2.568]"
174153,513972,M,Manual,1,2010-06-29 16:13:00,4.25,15532.0,United Kingdom,4.25,"(4.229, 4.304]"
176203,514324,M,Manual,2,2010-07-01 14:13:00,0.85,16011.0,United Kingdom,1.7,"(0.831, 0.907]"
176260,514329,M,Manual,4,2010-07-01 14:27:00,20.3,13503.0,United Kingdom,81.2,"(20.234, 20.309]"
176646,514355,M,Manual,6,2010-07-01 16:48:00,2.55,17589.0,United Kingdom,15.299999999999999,"(2.492, 2.568]"
177591,514487,M,Manual,1,2010-07-02 14:46:00,6.75,18002.0,United Kingdom,6.75,"(6.72, 6.796]"
177601,514488,M,Manual,2,2010-07-02 15:09:00,0.55,17988.0,United Kingdom,1.1,"(0.529, 0.605]"
177602,514491,M,Manual,5,2010-07-02 15:17:00,0.55,17988.0,United Kingdom,2.75,"(0.529, 0.605]"
183568,515346,M,Manual,1,2010-07-12 10:24:00,10.0,14608.0,United Kingdom,10.0,"(9.966, 10.042]"
185573,515762,M,Manual,1,2010-07-14 13:48:00,15.0,14606.0,United Kingdom,15.0,"(14.949, 15.025]"
185662,515768,M,Manual,1,2010-07-14 14:30:00,7.95,18096.0,United Kingdom,7.95,"(7.928, 8.004]"
188326,516158,M,Manual,8,2010-07-18 11:49:00,1.0,16950.0,United Kingdom,8.0,"(0.982, 1.058]"
188565,516168,M,Manual,1,2010-07-18 13:22:00,21.95,15547.0,United Kingdom,21.95,"(21.895, 21.97]"
190036,516342,M,Manual,2,2010-07-20 09:42:00,1.0,17994.0,United Kingdom,2.0,"(0.982, 1.058]"
190838,516478,M,Manual,10,2010-07-20 17:20:00,0.55,17576.0,United Kingdom,5.5,"(0.529, 0.605]"
192199,516741,M,Manual,1,2010-07-22 14:20:00,7.95,17918.0,United Kingdom,7.95,"(7.928, 8.004]"
193606,516909,M,Manual,1,2010-07-25 11:02:00,95.0,12748.0,United Kingdom,95.0,"(94.974, 95.05]"
194594,516957,M,Manual,1,2010-07-25 15:52:00,1.25,13148.0,United Kingdom,1.25,"(1.209, 1.284]"
194669,516959,M,Manual,3,2010-07-25 16:06:00,0.38,13451.0,United Kingdom,1.1400000000000001,"(0.378, 0.454]"
198267,517513,M,Manual,1,2010-07-29 13:28:00,4.25,15023.0,United Kingdom,4.25,"(4.229, 4.304]"
199157,517625,M,Manual,1,2010-07-30 11:59:00,2.55,16391.0,United Kingdom,2.55,"(2.492, 2.568]"
199545,517709,M,Manual,1,2010-08-01 11:02:00,50.0,12748.0,United Kingdom,50.0,"(49.979, 50.055]"
199622,517713,M,Manual,1,2010-08-01 11:18:00,95.0,12748.0,United Kingdom,95.0,"(94.974, 95.05]"
199909,517724,M,Manual,1,2010-08-01 13:07:00,21.95,15547.0,United Kingdom,21.95,"(21.895, 21.97]"
200309,517743,M,Manual,1,2010-08-01 15:51:00,3.5,17984.0,United Kingdom,3.5,"(3.474, 3.549]"
200382,517744,M,Manual,24,2010-08-01 15:55:00,1.45,15640.0,United Kingdom,34.8,"(1.435, 1.511]"
201260,517869,M,Manual,5,2010-08-02 15:13:00,1.45,17848.0,United Kingdom,7.25,"(1.435, 1.511]"
201617,517934,M,Manual,1,2010-08-03 10:52:00,800.0,12748.0,United Kingdom,800.0,"(799.951, 800.027]"
201872,517964,M,Manual,2,2010-08-03 12:51:00,7.95,17298.0,United Kingdom,15.9,"(7.928, 8.004]"
207853,518777,M,Manual,1,2010-08-11 15:56:00,800.0,12748.0,United Kingdom,800.0,"(799.951, 800.027]"
208776,518942,M,Manual,1,2010-08-12 14:48:00,150.0,12748.0,United Kingdom,150.0,"(149.935, 150.011]"
210054,519192,M,Manual,1,2010-08-13 16:58:00,7.95,14525.0,United Kingdom,7.95,"(7.928, 8.004]"
210241,519204,M,Manual,1,2010-08-15 10:55:00,95.0,16326.0,United Kingdom,95.0,"(94.974, 95.05]"
210261,519207,M,Manual,1,2010-08-15 11:06:00,95.0,12748.0,United Kingdom,95.0,"(94.974, 95.05]"
212403,519520,M,Manual,1,2010-08-18 10:03:00,1.45,15061.0,United Kingdom,1.45,"(1.435, 1.511]"
214136,519692,M,Manual,2,2010-08-19 13:48:00,7.95,17222.0,United Kingdom,15.9,"(7.928, 8.004]"
